krona	2.8.1--pl5321hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate krona works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
links	2.0.1--h4ba1498_8	FAIL	rc=3; [smoke] FAIL — could not demonstrate links works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
malt	0.61--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate malt works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
manta	1.6.0--py27h163da20_6	FAIL	rc=3; [smoke] FAIL — could not demonstrate manta works on linux/arm64: | SyntaxError: invalid syntax | [smoke] WARNING: module detection wrote to stderr: | [smoke] no importable python module, no runnable CLI, no functional check.
maxbin2	2.2.7--h80f0ee0_8	FAIL	rc=3; [smoke] FAIL — could not demonstrate maxbin2 works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
megan	6.25.10--h23ed54d_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate megan works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
merqury	1.3--hdfd78af_4	FAIL	rc=3; [smoke] FAIL — could not demonstrate merqury works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
merquryfk	1.2--h1743689_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate merquryfk works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
metamdbg	1.2--h1e84f2d_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate metamdbg works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
methyldackel	0.6.1--h0cbc5ad_9	FAIL	rc=3; [smoke] FAIL — could not demonstrate methyldackel works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
mindagap	0.0.2--pyhdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate mindagap works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
mirdeep2	2.0.1.3--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate mirdeep2 works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
mirtop	0.4.30--pyh7e72e81_0	FAIL	rc=3; [smoke] FAIL — mirtop installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'pkg_resources' | active python: Python 3.12.13 | site-packages: /opt/conda/lib/python3.1/site-packages /opt/conda/lib/python3.12/site-packages
muse	2.1.2--hd44150b_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate muse works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
mykrobe	0.13.0--py312h25ee9f3_5	FAIL	rc=3; [smoke] FAIL — mykrobe installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'pkg_resources' | active python: Python 3.12.13 | site-packages: /opt/conda/lib/python3.1/site-packages /opt/conda/lib/python3.12/site-packages
ngmerge	0.5--hf0d9179_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate ngmerge works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
ngscheckmate	1.0.1--py312pl5321h0cbc5ad_4	FAIL	rc=3; [smoke] FAIL — could not demonstrate ngscheckmate works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
oncocnv	7.0--pl5321r44hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate oncocnv works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
openms	3.5.0--h1ce2723_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate openms works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
p7zip	16.02--h01db608_1001	FAIL	rc=3; [smoke] FAIL — could not demonstrate p7zip works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
peka	1.0.2--pyhdfd78af_0	FAIL	rc=3; [smoke] FAIL — peka installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'webcolors' | active python: Python 3.12.13 | site-packages: /opt/conda/lib/python3.1/site-packages /opt/conda/lib/python3.12/site-packages
phantompeakqualtools	1.2.2--hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate phantompeakqualtools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
pirate	1.0.5--hdfd78af_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate pirate works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
plasmidfinder	2.1.6--py314hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate plasmidfinder works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
plasmidid	1.6.5--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate plasmidid works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
poolsnp	1.0.1--py312h7e72e81_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate poolsnp works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
prinseq-plus-plus	1.2.4--h1e84f2d_8	FAIL	rc=3; [smoke] FAIL — could not demonstrate prinseq-plus-plus works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
relion	5.1.0--h4615e1f_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate relion works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
repeatmasker	4.2.3--pl5321hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate repeatmasker works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
repeatmodeler	2.0.8--pl5321hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate repeatmodeler works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
ribowaltz	2.0--r44hdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate ribowaltz works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
rmats	4.3.0--py312h570e2b1_5	FAIL	rc=3; [smoke] FAIL — could not demonstrate rmats works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
rsem	1.3.3--pl5321h1e84f2d_12	FAIL	rc=3; [smoke] FAIL — could not demonstrate rsem works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
rust-bio-tools	0.42.2--h9f9ed5d_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate rust-bio-tools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
s4pred	1.2.1--pyhdfd78af_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate s4pred works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
seacr	1.3--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate seacr works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
segemehl	0.3.4--h89409d7_13	FAIL	rc=3; [smoke] FAIL — could not demonstrate segemehl works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
semibin	2.3.0--pyhdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate semibin works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
seqcluster	1.2.9--pyh5e36f6f_0	FAIL	rc=3; [smoke] FAIL — seqcluster installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'pkg_resources' | active python: Python 3.12.13 | site-packages: /opt/conda/lib/python3.1/site-packages /opt/conda/lib/python3.12/site-packages
shigapass	1.5.0--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate shigapass works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
smncopynumbercaller	1.1.2--py312h7e72e81_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate smncopynumbercaller works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
snpeff	5.4.0c--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate snpeff works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
snpsift	5.4.0c--hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate snpsift works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
spades	4.2.0--h3e01217_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate spades works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
sra-tools	3.4.1--habe25ba_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate sra-tools works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
stacks	2.68--h1e84f2d_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate stacks works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
star	2.7.11b--h0aa3852_8	FAIL	rc=3; [smoke] FAIL — could not demonstrate star works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
strdust	0.16.0--h095e6a0_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate strdust works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
strelka	2.9.10--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate strelka works on linux/arm64: | SyntaxError: invalid syntax | [smoke] WARNING: module detection wrote to stderr: | [smoke] no importable python module, no runnable CLI, no functional check.
strvctvre	1.10--pyh7e72e81_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate strvctvre works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
subread	2.0.6--h0cbc5ad_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate subread works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
survivor	1.0.7--h1e84f2d_7	FAIL	rc=3; [smoke] FAIL — could not demonstrate survivor works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
svtk	0.0.20190615--py312h187bc89_7	FAIL	rc=3; [smoke] FAIL — svtk installs python modules that do not import on linux/arm64: | ModuleNotFoundError: No module named 'pkg_resources' | active python: Python 3.12.13 | site-packages: /opt/conda/lib/python3.1/site-packages /opt/conda/lib/python3.12/site-packages
t1k	1.0.10--hba0d0ff_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate t1k works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
transdecoder	6.0.0--pl5321hdfd78af_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate transdecoder works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
trinity	2.15.2--pl5321h1e84f2d_6	FAIL	rc=3; [smoke] FAIL — could not demonstrate trinity works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
tsebra	1.1.2.5--pyhca03a8a_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate tsebra works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
ucsc-bedclip	377--h59a00ea_4	FAIL	rc=3; [smoke] FAIL — could not demonstrate ucsc-bedclip works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
ucsc-bedgraphtobigwig	469--h9fe62a2_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate ucsc-bedgraphtobigwig works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
vcf2db	2020.02.24--pl5321hdfd78af_3	FAIL	rc=3; [smoke] FAIL — could not demonstrate vcf2db works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
vcf2maf	1.6.22--hdfd78af_2	FAIL	rc=3; [smoke] FAIL — could not demonstrate vcf2maf works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
vcflib	1.0.15--h033866a_1	FAIL	rc=3; [smoke] FAIL — could not demonstrate vcflib works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
yara	1.0.5--h3f0cd99_0	FAIL	rc=3; [smoke] FAIL — could not demonstrate yara works on linux/arm64: | [smoke] no importable python module, no runnable CLI, no functional check.
abra2	2.24--h7f4e536_3	PASS	
abricate	1.4.0--h05cac1d_0	PASS	
abritamr	1.3.0--pyh5707d69_0	PASS	
agat	1.7.0--pl5321hdfd78af_0	PASS	
alevin-fry	0.9.0--h2c59f48_1	PASS	
alignoth	1.10.0--hb267aa8_0	PASS	
ampcombi	3.0.0--pyhdfd78af_0	PASS	
amulety	2.1.3--pyh8506780_0	PASS	
angsd	0.940--h63bafd0_4	PASS	
antismash	8.0.4--pyhdfd78af_1	PASS	
any2fasta	0.8.1--hdfd78af_0	PASS	
argnorm	1.1.0--pyhdfd78af_0	PASS	
arriba	2.5.1--h6cedb8e_0	PASS	
artic	1.10.2--pyhdfd78af_0	PASS	
ashlar	1.20.0--pyhdfd78af_0	PASS	
ataqv	1.3.1--py312h0ad2b02_5	PASS	
atlas	2.0.3--h5bbc00c_0	PASS	
autocycler	0.6.2--h60bb4c3_0	PASS	
bacphlip	0.9.6--py_0	PASS	
bamaligncleaner	0.3--pyhdfd78af_0	PASS	
bamcmp	2.2--h163da20_7	PASS	
bamtools	2.5.3--h86c93f2_0	PASS	
barrnap	1.10.6--pl5321hdfd78af_0	PASS	
bcftools	1.23.1--h89c24a7_0	PASS	
beagle	5.5_27Feb25.75f--hdfd78af_0	PASS	
bedops	2.4.42--h7645e38_1	PASS	
bedtools	2.31.1--h63bafd0_3	PASS	
bigslice	2.0.2--pyh8ed023e_0	PASS	
bio2zarr	0.2.1--pyhdfd78af_0	PASS	
bioawk	1.0--h0cbc5ad_13	PASS	
biscuit	1.10.0.20260724--h411c767_0	PASS	
bismark	0.25.1--hdfd78af_0	PASS	
blobtk	0.8.0--py313h7bfe218_0	PASS	
bowtie	1.3.1--h7658330_11	PASS	
bowtie2	2.5.5--hf3d0eb7_0	PASS	
bracken	3.1p1--h1b9dc22_0	PASS	
bwa	0.7.18--h0cbc5ad_2	PASS	
bwa-mem2	2.3--h1e84f2d_0	PASS	
bwameth	0.2.10--pyh106432d_0	PASS	
caalm	1.0.0--pyhdfd78af_0	PASS	
canu	2.3--hfc89944_2	PASS	
cat	6.0.1--hdfd78af_1	PASS	
cellbender	0.3.2--pyhdfd78af_0	PASS	
centrifuge	1.0.4.2--h1e84f2d_1	PASS	
centrifuger	1.1.2--h84a7dbf_0	PASS	
checkqc	4.0.7--pyhdfd78af_0	PASS	
checkv	1.1.1--pyh106432d_0	PASS	
chewbbaca	3.5.4--pyh106432d_0	PASS	
chopper	0.13.0--ha2fee11_0	PASS	
chromap	0.3.2--h1e84f2d_0	PASS	
chromograph	1.3.1--pyhdfd78af_2	PASS	
circexplorer2	2.3.8--pyh864c0ab_1	PASS	
civicpy	5.4.0--pyhdfd78af_1	PASS	
clame	1.0--h80f0ee0_3	PASS	
clipkit	2.12.0--pyhdfd78af_0	PASS	
clustalo	1.2.4--h80f0ee0_10	PASS	
clusty	1.2.2--h23ed54d_0	PASS	
cmaple	1.1.0--h80f0ee0_1	PASS	
cmseq	1.0.4--pyhb7b1952_0	PASS	
cnvkit	0.9.10--pyhdfd78af_0	PASS	
cnvnator	0.4.1--py313hb659247_12	PASS	
cnvpytor	1.3.2--pyhdfd78af_0	PASS	
cobs	0.3.1--h7f4e536_1	PASS	
concoct	1.1.0--py312hc1ac19e_9	PASS	
conifer	1.0.3--h0cbc5ad_0	PASS	
cooler	0.10.4--pyhdfd78af_0	PASS	
cooltools	0.7.1--py312h6ad6c05_3	PASS	
coptr	1.1.4--pyhdfd78af_1	PASS	
coverm	0.7.0--h3ad02e1_4	PASS	
crabs	1.14.0--pyhdfd78af_0	PASS	
cramino	1.3.0--h30f2c0e_0	PASS	
crispresso2	2.3.4--py313h1a40087_0	PASS	
cromwell	0.40--1	PASS	
csvtk	0.31.0--h23ed54d_0	PASS	
cutadapt	5.2--py313h7ebdf71_1	PASS	
cutesv	2.1.3--pyhdfd78af_0	PASS	
damageprofiler	1.1--hdfd78af_2	PASS	
deacon	0.15.0--hacc9189_0	PASS	
dedup	0.12.9--hdfd78af_0	PASS	
deeptools	3.5.6--pyhdfd78af_0	PASS	
delly	2.0.0--ha658904_0	PASS	
demuxem	0.1.8--pyhdfd78af_0	PASS	
diamond	2.1.12--h877b1ff_3	PASS	
doubletdetection	4.3.0.post1--pyhdfd78af_0	PASS	
dragonflye	1.2.1--hdfd78af_0	PASS	
drep	3.6.2--pyhdfd78af_0	PASS	
dysgu	1.8.8--py313hd3ce107_0	PASS	
ectyper	2.0.0--pyhdfd78af_4	PASS	
elprep	5.1.3--h8865c2f_2	PASS	
emu	3.6.2--hdfd78af_0	PASS	
endorspy	1.4--hdfd78af_0	PASS	
epic2	0.0.54--py312hc072545_0	PASS	
fairy	0.5.8--h3af2550_0	PASS	
falco	1.2.3--h7f4e536_1	PASS	
famsa	2.4.1--h23ed54d_0	PASS	
fast2q	2.8.1--pyh7e72e81_0	PASS	
fastcov	0.1.3--hdfd78af_0	PASS	
fastdup	1.0.0--hbaa2b13_0	PASS	
fastme	2.1.6.3--h661a7b0_1	PASS	
fastp	0.23.4--haf58d86_5	PASS	
fastplong	0.4.1--ha7486ba_0	PASS	
fastqc	0.12.1--hdfd78af_0	PASS	
fastqe	0.5.2--pyhdfd78af_0	PASS	
fasttree	2.2.0--h661a7b0_1	PASS	
ffq	0.3.1--pyhdfd78af_0	PASS	
fgbio	4.1.0--hdfd78af_0	PASS	
fgumi	0.3.0--h389c417_0	PASS	
filtlong	0.2.1--h7f4e536_4	PASS	
finaletoolkit	0.11.1--pyhdfd78af_0	PASS	
flye	2.9.6--py313h30571f8_1	PASS	
foldcomp	1.0.0--h94579f3_0	PASS	
foldmason	2.7bd21ed--pl5321h3af90e8_0	PASS	
foldseek	8.ef4e960--pl5321hd5e968b_1	PASS	
fq	0.12.0--h23ed54d_0	PASS	
fqtk	0.3.1--h415ceb9_3	PASS	
freebayes	1.3.10--h1c6109c_0	PASS	
freyja	2.0.1--pyhdfd78af_0	PASS	
galah	0.4.2--h3af2550_2	PASS	
ganon	2.1.0--py312h5a2988e_3	PASS	
gappa	0.9.0--h1e84f2d_0	PASS	
gapseq	2.1.0--hdfd78af_0	PASS	
gawk	5.3.0--h930d8bc_0	PASS	
gecco	0.10.3--pyhdfd78af_1	PASS	
